Bird_ID,Host_sp,Mite_sp,day0_mites,days_til_death,day1,day2,day3,day4,day5,day6,day7,day8,day9,day10,day11,day12,day13,day14,day15,day16,day17
AMRE1,AMRE,Amerodectes ischyros,25,9,25,22,18,16,15,8,8,3,0,0,0,0,0,0,0,0,0
PROW1,PROW,Amerodectes protonotaria,5,11,5,5,5,5,5,4,1,1,1,1,0,0,0,0,0,0,0
PROW2,PROW,Amerodectes protonotaria,258,6,258,258,240,214,87,0,0,0,0,0,0,0,0,0,0,0,0
AMRE2,AMRE,Amerodectes ischyros,34,11,32,32,31,29,27,23,21,17,13,7,0,0,0,0,0,0,0
PROW3,PROW,Amerodectes protonotaria,11,9,11,11,11,11,9,5,3,1,0,0,0,0,0,0,0,0,0
PROW3,PROW,Proctophyllodes quadratus,3,10,3,3,3,3,3,3,2,2,1,0,0,0,0,0,0,0,0
PROW4,PROW,Amerodectes protonotaria,120,10,115,109,107,104,97,87,65,39,12,0,0,0,0,0,0,0,0
PROW5,PROW,Amerodectes protonotaria,100,10,99,95,95,87,77,59,46,35,12,0,0,0,0,0,0,0,0
PROW5,PROW,Proctophyllodes quadratus,7,5,7,7,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0
PROW6,PROW,Amerodectes protonotaria,43,15,43,43,41,41,39,33,14,6,2,1,1,1,1,1,0,0,0
PROW7,PROW,Amerodectes protonotaria,140,13,137,137,133,127,117,103,79,58,37,15,8,1,0,0,0,0,0
PROW8,PROW,Amerodectes protonotaria,34,9,34,34,32,31,23,14,11,3,0,0,0,0,0,0,0,0,0
PROW9,PROW,Proctophyllodes quadratus,1,6,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
PROW9,PROW,Amerodectes protonotaria,117,17,116,112,110,107,95,78,58,39,20,6,5,3,3,3,3,2,0
PROW10,PROW,Amerodectes protonotaria,8,5,7,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PROW10,PROW,Proctophyllodes quadratus,4,8,3,3,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0
CERW1,CERW,Amerodectes ischyros,90,15,90,90,89,88,88,86,72,59,43,27,15,10,4,3,0,0,0
CERW2,CERW,Amerodectes ischyros,225,16,225,224,221,216,215,206,191,170,139,101,81,58,37,19,3,0,0
CERW2,CERW,Proctophyllodes quadratus,5,9,5,5,5,5,5,4,3,1,0,0,0,0,0,0,0,0,0
PROW11,PROW,Amerodectes protonotaria,143,9,143,134,124,112,91,68,44,8,0,0,0,0,0,0,0,0,0
PROW11,PROW,Proctophyllodes quadratus,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CERW3,CERW,Amerodectes ischyros,99,12,99,91,75,69,58,49,41,25,17,10,4,0,0,0,0,0,0
CERW4,CERW,Amerodectes ischyros,249,11,249,249,246,243,226,190,135,81,31,12,0,0,0,0,0,0,0
CERW5,CERW,Amerodectes ischyros,23,12,23,23,23,23,20,17,13,9,6,2,2,0,0,0,0,0,0
CERW5,CERW,Proctophyllodes quadratus,1,6,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CERW6,CERW,Amerodectes ischyros,63,14,63,63,62,56,54,43,34,25,20,16,3,1,1,0,0,0,0
AMRE3,AMRE,Amerodectes ischyros,100,15,100,99,99,95,89,74,65,36,21,11,4,1,1,1,0,0,0
AMRE3,AMRE,Proctophyllodes quadratus,2,5,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CERW7,CERW,Amerodectes ischyros,10,10,10,10,10,8,7,3,2,2,1,0,0,0,0,0,0,0,0
AMRE4,AMRE,Amerodectes ischyros,167,12,167,165,157,135,116,94,71,43,21,10,2,0,0,0,0,0,0
PROW12,PROW,Amerodectes protonotaria,66,12,65,65,63,60,55,43,32,23,13,6,1,0,0,0,0,0,0
PROW13,PROW,Amerodectes protonotaria,66,12,65,65,65,63,57,44,33,27,17,11,1,0,0,0,0,0,0
PROW13,PROW,Proctophyllodes quadratus,1,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PROW14,PROW,Amerodectes protonotaria,27,8,25,23,21,16,8,6,2,0,0,0,0,0,0,0,0,0,0
PROW14,PROW,Proctophyllodes quadratus,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
