day,event,bird_id,host_species,mite_species
1,1,AMRE1,AMRE,Amerodectes ischyros
1,1,AMRE1,AMRE,Amerodectes ischyros
1,1,AMRE1,AMRE,Amerodectes ischyros
1,1,AMRE1,AMRE,Amerodectes ischyros
1,1,AMRE1,AMRE,Amerodectes ischyros
1,1,AMRE1,AMRE,Amerodectes ischyros
3,1,AMRE1,AMRE,Amerodectes ischyros
3,1,AMRE1,AMRE,Amerodectes ischyros
9,1,AMRE1,AMRE,Amerodectes ischyros
10,1,AMRE1,AMRE,Amerodectes ischyros
10,1,AMRE1,AMRE,Amerodectes ischyros
10,1,AMRE1,AMRE,Amerodectes ischyros
10,1,AMRE1,AMRE,Amerodectes ischyros
10,1,AMRE1,AMRE,Amerodectes ischyros
10,1,AMRE1,AMRE,Amerodectes ischyros
10,1,AMRE1,AMRE,Amerodectes ischyros
10,1,AMRE1,AMRE,Amerodectes ischyros
10,1,AMRE1,AMRE,Amerodectes ischyros
10,1,AMRE1,AMRE,Amerodectes ischyros
10,1,AMRE1,AMRE,Amerodectes ischyros
10,1,AMRE1,AMRE,Amerodectes ischyros
10,1,AMRE1,AMRE,Amerodectes ischyros
10,1,AMRE1,AMRE,Amerodectes ischyros
10,1,AMRE1,AMRE,Amerodectes ischyros
10,1,AMRE1,AMRE,Amerodectes ischyros
5,1,PROW1,PROW,Amerodectes protonotaria
5,1,PROW1,PROW,Amerodectes protonotaria
5,1,PROW1,PROW,Amerodectes protonotaria
5,1,PROW1,PROW,Amerodectes protonotaria
11,1,PROW1,PROW,Amerodectes protonotaria
3,1,PROW2,PROW,Amerodectes protonotaria
3,1,PROW2,PROW,Amerodectes protonotaria
3,1,PROW2,PROW,Amerodectes protonotaria
3,1,PROW2,PROW,Amerodectes protonotaria
3,1,PROW2,PROW,Amerodectes protonotaria
3,1,PROW2,PROW,Amerodectes protonotaria
3,1,PROW2,PROW,Amerodectes protonotaria
3,1,PROW2,PROW,Amerodectes protonotaria
3,1,PROW2,PROW,Amerodectes protonotaria
3,1,PROW2,PROW,Amerodectes protonotaria
3,1,PROW2,PROW,Amerodectes protonotaria
3,1,PROW2,PROW,Amerodectes protonotaria
3,1,PROW2,PROW,Amerodectes protonotaria
4,1,PROW2,PROW,Amerodectes protonotaria
4,1,PROW2,PROW,Amerodectes protonotaria
4,1,PROW2,PROW,Amerodectes protonotaria
4,1,PROW2,PROW,Amerodectes protonotaria
4,1,PROW2,PROW,Amerodectes protonotaria
4,1,PROW2,PROW,Amerodectes protonotaria
5,1,PROW2,PROW,Amerodectes protonotaria
5,1,PROW2,PROW,Amerodectes protonotaria
5,1,PROW2,PROW,Amerodectes protonotaria
5,1,PROW2,PROW,Amerodectes protonotaria
5,1,PROW2,PROW,Amerodectes protonotaria
5,1,PROW2,PROW,Amerodectes protonotaria
5,1,PROW2,PROW,Amerodectes protonotaria
5,1,PROW2,PROW,Amerodectes protonotaria
5,1,PROW2,PROW,Amerodectes protonotaria
5,1,PROW2,PROW,Amerodectes protonotaria
5,1,PROW2,PROW,Amerodectes protonotaria
5,1,PROW2,PROW,Amerodectes protonotaria
5,1,PROW2,PROW,Amerodectes protonotaria
5,1,PROW2,PROW,Amerodectes protonotaria
5,1,PROW2,PROW,Amerodectes protonotaria
5,1,PROW2,PROW,Amerodectes protonotaria
5,1,PROW2,PROW,Amerodectes protonotaria
6,1,PROW2,PROW,Amerodectes protonotaria
6,1,PROW2,PROW,Amerodectes protonotaria
6,1,PROW2,PROW,Amerodectes protonotaria
6,1,PROW2,PROW,Amerodectes protonotaria
6,1,PROW2,PROW,Amerodectes protonotaria
6,1,PROW2,PROW,Amerodectes protonotaria
6,1,PROW2,PROW,Amerodectes protonotaria
6,1,PROW2,PROW,Amerodectes protonotaria
6,1,PROW2,PROW,Amerodectes protonotaria
6,1,PROW2,PROW,Amerodectes protonotaria
6,1,PROW2,PROW,Amerodectes protonotaria
6,1,PROW2,PROW,Amerodectes protonotaria
6,1,PROW2,PROW,Amerodectes protonotaria
6,1,PROW2,PROW,Amerodectes protonotaria
6,1,PROW2,PROW,Amerodectes protonotaria
6,1,PROW2,PROW,Amerodectes protonotaria
6,1,PROW2,PROW,Amerodectes protonotaria
6,1,PROW2,PROW,Amerodectes protonotaria
6,1,PROW2,PROW,Amerodectes protonotaria
6,1,PROW2,PROW,Amerodectes protonotaria
6,1,PROW2,PROW,Amerodectes protonotaria
6,1,PROW2,PROW,Amerodectes protonotaria
6,1,PROW2,PROW,Amerodectes protonotaria
6,1,PROW2,PROW,Amerodectes protonotaria
6,1,PROW2,PROW,Amerodectes protonotaria
6,1,PROW2,PROW,Amerodectes protonotaria
6,1,PROW2,PROW,Amerodectes protonotaria
6,1,PROW2,PROW,Amerodectes protonotaria
6,1,PROW2,PROW,Amerodectes protonotaria
6,1,PROW2,PROW,Amerodectes protonotaria
6,1,PROW2,PROW,Amerodectes protonotaria
6,1,PROW2,PROW,Amerodectes protonotaria
6,1,PROW2,PROW,Amerodectes protonotaria
6,1,PROW2,PROW,Amerodectes protonotaria
6,1,PROW2,PROW,Amerodectes protonotaria
6,1,PROW2,PROW,Amerodectes protonotaria
6,1,PROW2,PROW,Amerodectes protonotaria
6,1,PROW2,PROW,Amerodectes protonotaria
6,1,PROW2,PROW,Amerodectes protonotaria
6,1,PROW2,PROW,Amerodectes protonotaria
6,1,PROW2,PROW,Amerodectes protonotaria
6,1,PROW2,PROW,Amerodectes protonotaria
6,1,PROW2,PROW,Amerodectes protonotaria
6,1,PROW2,PROW,Amerodectes protonotaria
6,1,PROW2,PROW,Amerodectes protonotaria
6,1,PROW2,PROW,Amerodectes protonotaria
6,1,PROW2,PROW,Amerodectes protonotaria
6,1,PROW2,PROW,Amerodectes protonotaria
6,1,PROW2,PROW,Amerodectes protonotaria
6,1,PROW2,PROW,Amerodectes protonotaria
6,1,PROW2,PROW,Amerodectes protonotaria
6,1,PROW2,PROW,Amerodectes protonotaria
6,1,PROW2,PROW,Amerodectes protonotaria
6,1,PROW2,PROW,Amerodectes protonotaria
6,1,PROW2,PROW,Amerodectes protonotaria
6,1,PROW2,PROW,Amerodectes protonotaria
6,1,PROW2,PROW,Amerodectes protonotaria
6,1,PROW2,PROW,Amerodectes protonotaria
6,1,PROW2,PROW,Amerodectes protonotaria
6,1,PROW2,PROW,Amerodectes protonotaria
6,1,PROW2,PROW,Amerodectes protonotaria
6,1,PROW2,PROW,Amerodectes protonotaria
6,1,PROW2,PROW,Amerodectes protonotaria
6,1,PROW2,PROW,Amerodectes protonotaria
6,1,PROW2,PROW,Amerodectes protonotaria
6,1,PROW2,PROW,Amerodectes protonotaria
