day,event,bird_id,host_species,mite_species,day0_mites
2,1,AMRE1,AMRE,Amerodectes ischyros,25
2,1,AMRE1,AMRE,Amerodectes ischyros,25
2,1,AMRE1,AMRE,Amerodectes ischyros,25
3,1,AMRE1,AMRE,Amerodectes ischyros,25
3,1,AMRE1,AMRE,Amerodectes ischyros,25
3,1,AMRE1,AMRE,Amerodectes ischyros,25
3,1,AMRE1,AMRE,Amerodectes ischyros,25
4,1,AMRE1,AMRE,Amerodectes ischyros,25
4,1,AMRE1,AMRE,Amerodectes ischyros,25
5,1,AMRE1,AMRE,Amerodectes ischyros,25
6,1,AMRE1,AMRE,Amerodectes ischyros,25
6,1,AMRE1,AMRE,Amerodectes ischyros,25
6,1,AMRE1,AMRE,Amerodectes ischyros,25
6,1,AMRE1,AMRE,Amerodectes ischyros,25
6,1,AMRE1,AMRE,Amerodectes ischyros,25
6,1,AMRE1,AMRE,Amerodectes ischyros,25
6,1,AMRE1,AMRE,Amerodectes ischyros,25
8,1,AMRE1,AMRE,Amerodectes ischyros,25
8,1,AMRE1,AMRE,Amerodectes ischyros,25
8,1,AMRE1,AMRE,Amerodectes ischyros,25
8,1,AMRE1,AMRE,Amerodectes ischyros,25
8,1,AMRE1,AMRE,Amerodectes ischyros,25
9,1,AMRE1,AMRE,Amerodectes ischyros,25
9,1,AMRE1,AMRE,Amerodectes ischyros,25
9,1,AMRE1,AMRE,Amerodectes ischyros,25
6,1,PROW1,PROW,Amerodectes protonotaria,5
7,1,PROW1,PROW,Amerodectes protonotaria,5
7,1,PROW1,PROW,Amerodectes protonotaria,5
8,0,PROW1,PROW,Amerodectes protonotaria,5
11,1,PROW1,PROW,Amerodectes protonotaria,5
3,1,PROW2,PROW,Amerodectes protonotaria,258
3,1,PROW2,PROW,Amerodectes protonotaria,258
3,1,PROW2,PROW,Amerodectes protonotaria,258
3,1,PROW2,PROW,Amerodectes protonotaria,258
3,1,PROW2,PROW,Amerodectes protonotaria,258
3,1,PROW2,PROW,Amerodectes protonotaria,258
3,1,PROW2,PROW,Amerodectes protonotaria,258
3,1,PROW2,PROW,Amerodectes protonotaria,258
3,1,PROW2,PROW,Amerodectes protonotaria,258
3,1,PROW2,PROW,Amerodectes protonotaria,258
3,1,PROW2,PROW,Amerodectes protonotaria,258
3,1,PROW2,PROW,Amerodectes protonotaria,258
3,1,PROW2,PROW,Amerodectes protonotaria,258
3,1,PROW2,PROW,Amerodectes protonotaria,258
3,1,PROW2,PROW,Amerodectes protonotaria,258
3,1,PROW2,PROW,Amerodectes protonotaria,258
3,1,PROW2,PROW,Amerodectes protonotaria,258
3,1,PROW2,PROW,Amerodectes protonotaria,258
4,1,PROW2,PROW,Amerodectes protonotaria,258
4,1,PROW2,PROW,Amerodectes protonotaria,258
4,1,PROW2,PROW,Amerodectes protonotaria,258
4,1,PROW2,PROW,Amerodectes protonotaria,258
4,1,PROW2,PROW,Amerodectes protonotaria,258
4,1,PROW2,PROW,Amerodectes protonotaria,258
4,1,PROW2,PROW,Amerodectes protonotaria,258
4,1,PROW2,PROW,Amerodectes protonotaria,258
4,1,PROW2,PROW,Amerodectes protonotaria,258
4,1,PROW2,PROW,Amerodectes protonotaria,258
4,1,PROW2,PROW,Amerodectes protonotaria,258
4,1,PROW2,PROW,Amerodectes protonotaria,258
4,1,PROW2,PROW,Amerodectes protonotaria,258
4,1,PROW2,PROW,Amerodectes protonotaria,258
4,1,PROW2,PROW,Amerodectes protonotaria,258
4,1,PROW2,PROW,Amerodectes protonotaria,258
4,1,PROW2,PROW,Amerodectes protonotaria,258
4,1,PROW2,PROW,Amerodectes protonotaria,258
4,1,PROW2,PROW,Amerodectes protonotaria,258
4,1,PROW2,PROW,Amerodectes protonotaria,258
4,1,PROW2,PROW,Amerodectes protonotaria,258
4,1,PROW2,PROW,Amerodectes protonotaria,258
4,1,PROW2,PROW,Amerodectes protonotaria,258
4,1,PROW2,PROW,Amerodectes protonotaria,258
4,1,PROW2,PROW,Amerodectes protonotaria,258
4,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
5,1,PROW2,PROW,Amerodectes protonotaria,258
